transcript	SRR1976948	SRR1977249
k99_3033	181.561	166.636
k99_3039	48.9492	17.247
k99_3044	12.5465	1.11869
k99_3058	39.9537	19.6549
k99_3060	8.64051	2.32556
k99_3072	13.2704	2.00797
k99_3073	24.5844	14.6171
k99_3077	39.4596	15.9021
k99_3079	4437.7	1960.66
k99_3082	276.21	273.657
k99_3087	25.615	18.0106
k99_3090	0.212481	43.5173
k99_3094	13.3075	0.0
k99_3098	0.196848	38.6384
k99_3101	13.828	0.911296
k99_3104	16.577	6.85854
k99_3112	8.32786	0.0
k99_3115	8.28082	2.03628
k99_3127	22.0699	10.3493
k99_3129	38.4371	19.6507
k99_3132	0.547371	39.4991
k99_3136	17.756	10.2665
k99_3141	211.435	196.699
k99_3143	94.0127	1735.12
k99_3145	7.5095	7.81225
k99_3147	39.6722	17.4582
k99_3148	279.429	3796.86
k99_3150	13.105	17.6057
k99_3151	135.809	121.459
k99_3153	9.97936	1.03334
k99_3157	26.8703	2.73566
k99_3159	16.2619	10.0477
k99_3162	17.2972	0.545775
k99_3168	0.0	8.02032
k99_3186	6.49857	4.9159
k99_3189	53.1184	26.195
k99_3199	9.45798	4.7154
k99_3209	0.298626	38.9274
k99_3218	17.4039	9.46658
k99_3225	17.2909	3.72896
k99_3226	416.819	311.347
k99_3234	9.16837	3.90317
k99_3238	14.736	0.0
k99_3248	20.0379	11.6041
k99_3251	43.1315	15.0225
k99_3254	18.9271	44.1914
k99_3259	12.0786	2.0924
k99_3260	11.2285	20.3931
k99_3271	173.315	172.094
k99_3273	3909.97	1718.6
k99_3274	15.7901	7.8432
k99_3275	8.92551	14.3156
k99_3276	14.5187	3.56738
k99_3280	16.9003	10.8198
k99_3283	222.412	189.358
k99_3284	148.62	138.621
k99_3285	0.0	7.21275
k99_3294	110.119	1437.95
k99_3296	0.28486	24.0276
k99_3298	121.718	1923.22
k99_3299	220.817	194.299
k99_3301	17.4972	10.8717
k99_3302	29.0168	14.4746
k99_3306	0.189413	39.3384
k99_3308	28.3248	24.527
k99_3310	34.7131	11.5198
k99_3312	9943.12	5371.24
k99_3321	17.6135	9.12752
k99_3325	741.606	502.27
k99_3331	11.2448	2.75235
k99_3336	34.3489	276.214
k99_3353	27.6525	0.0
k99_3354	883.913	557.695
k99_3357	9.0321	1.84763
k99_3358	20.9563	10.4084
k99_3359	1.93561	7.7664
k99_3360	0.0	71.7068
k99_3363	8.795	12.6269
k99_3364	234.609	205.569
k99_3375	140.953	123.09
k99_3394	217.631	185.061
k99_3395	271.374	280.131
k99_3402	30.5817	15.9411
k99_3403	21.948	5.92275
k99_3406	130.27	114.458
k99_3409	222.471	180.156
k99_3410	133.959	1806.39
k99_3411	63.3429	22.1603
k99_3412	18.4356	9.48927
k99_3414	35.1463	13.2158
k99_3417	0.194463	37.9403
k99_3419	113.708	2051.1
k99_3433	17.641	7.37086
k99_3439	6064.73	2963.85
k99_3441	20.5938	10.1807
k99_3443	22.174	9.83056
k99_3452	62.2611	928.884
k99_3458	50.7075	29.5761
k99_3461	46.269	14.0358
k99_3463	9.52479	1.04111
k99_3479	46.5817	35.5054
